,Sample,FileName,Wavelength,Intensity,Normalized
5,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,459,1206280675,0.974792106636566
6,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,468,1237474808,1.0
7,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,477,1136380159,0.9183056912783634
8,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,486,1057204912,0.8543243912242939
9,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,495,828263708,0.6693176318786119
10,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,504,840319712,0.6790600556613513
11,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,513,840503284,0.6792083996913172
12,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,521,723297992,0.5844951245262037
13,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,530,519260629,0.41961309082261333
14,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,539,433432488,0.3502556053650185
15,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,548,531421440,0.4294402088547406
16,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,557,324166388,0.2619579694910444
17,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,566,312980104,0.25291836405610285
18,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,575,190007415,0.1535444711857116
19,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,584,227877971,0.18414756367306995
20,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,593,192132963,0.15526212069765222
21,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,602,222517725,0.17981596357475102
22,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,610,175594609,0.14189752216757853
23,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,619,225362365,0.1821147093606127
24,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,628,198582563,0.1604740247770765
25,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,637,199640637,0.16132905147593113
26,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,646,177004017,0.14303646090870561
27,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,655,258211950,0.20866036894708243
28,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,664,164608549,0.13301971719815406
29,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,673,214173894,0.1730733366169665
30,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,682,161655238,0.13063315467509704
31,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,691,254770642,0.2058794573860933
